"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_A","8:2","raw_age_year","Weighting","full","1yr",0.0157397655180854
"Method_B","8:2","raw_age_year","Weighting","full","1yr",0.0157397655180854
"Method_C","8:2","raw_age_year","Weighting","full","1yr",0.0157397655180854
"Method_A","1:2","age_cat_compas","Weighting","full","1yr",0.0169711023726423
"Method_B","1:2","age_cat_compas","Weighting","full","1yr",0.0169711023726423
"Method_C","1:2","age_cat_compas","Weighting","full","1yr",0.0169711023726423
"Method_A","6:4","age_cat_compas","Weighting","full","1yr",0.0114218059754192
"Method_B","6:4","age_cat_compas","Weighting","full","1yr",0.0114218059754192
"Method_C","6:4","age_cat_compas","Weighting","full","1yr",0.0114218059754192
"Method_A","7:3","age_cat_compas","Weighting","full","1yr",0.0157963024428225
"Method_B","7:3","age_cat_compas","Weighting","full","1yr",0.0157963024428225
"Method_C","7:3","age_cat_compas","Weighting","full","1yr",0.0157963024428225
"Method_A","8:2","age_cat_compas","Weighting","full","1yr",0.0157397655180854
"Method_B","8:2","age_cat_compas","Weighting","full","1yr",0.0157397655180854
"Method_C","8:2","age_cat_compas","Weighting","full","1yr",0.0157397655180854
"Method_A","1:2","age_cat_nij","Weighting","full","1yr",0.0169711023726423
"Method_B","1:2","age_cat_nij","Weighting","full","1yr",0.0169711023726423
"Method_C","1:2","age_cat_nij","Weighting","full","1yr",0.0169711023726423
"Method_A","6:4","age_cat_nij","Weighting","full","1yr",0.0114218059754192
"Method_B","6:4","age_cat_nij","Weighting","full","1yr",0.0114218059754192
"Method_C","6:4","age_cat_nij","Weighting","full","1yr",0.0114218059754192
"Method_A","7:3","age_cat_nij","Weighting","full","1yr",0.0157963024428225
"Method_B","7:3","age_cat_nij","Weighting","full","1yr",0.0157963024428225
"Method_C","7:3","age_cat_nij","Weighting","full","1yr",0.0157963024428225
"Method_A","8:2","age_cat_nij","Weighting","full","1yr",0.0157397655180854
"Method_B","8:2","age_cat_nij","Weighting","full","1yr",0.0157397655180854
"Method_C","8:2","age_cat_nij","Weighting","full","1yr",0.0157397655180854
"Method_A","1:2","raw_age_year","Undersampling","final","1yr",0.00874722357292657
"Method_B","1:2","raw_age_year","Undersampling","final","1yr",0.00874722357292657
"Method_C","1:2","raw_age_year","Undersampling","final","1yr",0.00874722357292657
"Method_A","6:4","raw_age_year","Undersampling","final","1yr",0.00416687821209483
"Method_B","6:4","raw_age_year","Undersampling","final","1yr",0.00416687821209483
"Method_C","6:4","raw_age_year","Undersampling","final","1yr",0.00416687821209483
"Method_A","7:3","raw_age_year","Undersampling","final","1yr",0.00681682993562482
"Method_B","7:3","raw_age_year","Undersampling","final","1yr",0.00681682993562482
"Method_C","7:3","raw_age_year","Undersampling","final","1yr",0.00681682993562482
"Method_A","8:2","raw_age_year","Undersampling","final","1yr",0.00480866993591966
"Method_B","8:2","raw_age_year","Undersampling","final","1yr",0.00480866993591966
"Method_C","8:2","raw_age_year","Undersampling","final","1yr",0.00480866993591966
"Method_A","1:2","age_cat_compas","Undersampling","final","1yr",0.00874722357292657
"Method_B","1:2","age_cat_compas","Undersampling","final","1yr",0.00874722357292657
"Method_C","1:2","age_cat_compas","Undersampling","final","1yr",0.00874722357292657
"Method_A","6:4","age_cat_compas","Undersampling","final","1yr",0.00416687821209483
"Method_B","6:4","age_cat_compas","Undersampling","final","1yr",0.00416687821209483
"Method_C","6:4","age_cat_compas","Undersampling","final","1yr",0.00416687821209483
"Method_A","7:3","age_cat_compas","Undersampling","final","1yr",0.00681682993562482
"Method_B","7:3","age_cat_compas","Undersampling","final","1yr",0.00681682993562482
"Method_C","7:3","age_cat_compas","Undersampling","final","1yr",0.00681682993562482
"Method_A","8:2","age_cat_compas","Undersampling","final","1yr",0.00480866993591966
"Method_B","8:2","age_cat_compas","Undersampling","final","1yr",0.00480866993591966
"Method_C","8:2","age_cat_compas","Undersampling","final","1yr",0.00480866993591966
"Method_A","1:2","age_cat_nij","Undersampling","final","1yr",0.00874722357292657
"Method_B","1:2","age_cat_nij","Undersampling","final","1yr",0.00874722357292657
"Method_C","1:2","age_cat_nij","Undersampling","final","1yr",0.00874722357292657
"Method_A","6:4","age_cat_nij","Undersampling","final","1yr",0.00416687821209483
"Method_B","6:4","age_cat_nij","Undersampling","final","1yr",0.00416687821209483
"Method_C","6:4","age_cat_nij","Undersampling","final","1yr",0.00416687821209483
"Method_A","7:3","age_cat_nij","Undersampling","final","1yr",0.00681682993562482
"Method_B","7:3","age_cat_nij","Undersampling","final","1yr",0.00681682993562482
"Method_C","7:3","age_cat_nij","Undersampling","final","1yr",0.00681682993562482
"Method_A","8:2","age_cat_nij","Undersampling","final","1yr",0.00480866993591966
"Method_B","8:2","age_cat_nij","Undersampling","final","1yr",0.00480866993591966
"Method_C","8:2","age_cat_nij","Undersampling","final","1yr",0.00480866993591966
"Method_A","1:2","raw_age_year","Oversampling","final","1yr",0.0170643665637178
"Method_B","1:2","raw_age_year","Oversampling","final","1yr",0.0170643665637178
"Method_C","1:2","raw_age_year","Oversampling","final","1yr",0.0170643665637178
"Method_A","6:4","raw_age_year","Oversampling","final","1yr",0.00539628303328532
"Method_B","6:4","raw_age_year","Oversampling","final","1yr",0.00539628303328532
"Method_C","6:4","raw_age_year","Oversampling","final","1yr",0.00539628303328532
"Method_A","7:3","raw_age_year","Oversampling","final","1yr",0.00823444617452285
"Method_B","7:3","raw_age_year","Oversampling","final","1yr",0.00823444617452285
"Method_C","7:3","raw_age_year","Oversampling","final","1yr",0.00823444617452285
"Method_A","8:2","raw_age_year","Oversampling","final","1yr",0.00974642573088214
"Method_B","8:2","raw_age_year","Oversampling","final","1yr",0.00974642573088214
"Method_C","8:2","raw_age_year","Oversampling","final","1yr",0.00974642573088214
"Method_A","1:2","age_cat_compas","Oversampling","final","1yr",0.0170643665637178
"Method_B","1:2","age_cat_compas","Oversampling","final","1yr",0.0170643665637178
"Method_C","1:2","age_cat_compas","Oversampling","final","1yr",0.0170643665637178
"Method_A","6:4","age_cat_compas","Oversampling","final","1yr",0.00539628303328532
"Method_B","6:4","age_cat_compas","Oversampling","final","1yr",0.00539628303328532
"Method_C","6:4","age_cat_compas","Oversampling","final","1yr",0.00539628303328532
"Method_A","7:3","age_cat_compas","Oversampling","final","1yr",0.00823444617452285
"Method_B","7:3","age_cat_compas","Oversampling","final","1yr",0.00823444617452285
"Method_C","7:3","age_cat_compas","Oversampling","final","1yr",0.00823444617452285
"Method_A","8:2","age_cat_compas","Oversampling","final","1yr",0.00974642573088214
"Method_B","8:2","age_cat_compas","Oversampling","final","1yr",0.00974642573088214
"Method_C","8:2","age_cat_compas","Oversampling","final","1yr",0.00974642573088214
"Method_A","1:2","age_cat_nij","Oversampling","final","1yr",0.0170643665637178
"Method_B","1:2","age_cat_nij","Oversampling","final","1yr",0.0170643665637178
"Method_C","1:2","age_cat_nij","Oversampling","final","1yr",0.0170643665637178
"Method_A","6:4","age_cat_nij","Oversampling","final","1yr",0.00539628303328532
"Method_B","6:4","age_cat_nij","Oversampling","final","1yr",0.00539628303328532
"Method_C","6:4","age_cat_nij","Oversampling","final","1yr",0.00539628303328532
"Method_A","7:3","age_cat_nij","Oversampling","final","1yr",0.00823444617452285
"Method_B","7:3","age_cat_nij","Oversampling","final","1yr",0.00823444617452285
"Method_C","7:3","age_cat_nij","Oversampling","final","1yr",0.00823444617452285
"Method_A","8:2","age_cat_nij","Oversampling","final","1yr",0.00974642573088214
"Method_B","8:2","age_cat_nij","Oversampling","final","1yr",0.00974642573088214
"Method_C","8:2","age_cat_nij","Oversampling","final","1yr",0.00974642573088214
"Method_A","1:2","raw_age_year","Male Only","final","1yr",0.0370253058173627
"Method_B","1:2","raw_age_year","Male Only","final","1yr",0.0370253058173627
"Method_C","1:2","raw_age_year","Male Only","final","1yr",0.0370253058173627
"Method_A","6:4","raw_age_year","Male Only","final","1yr",0.0378320296865757
"Method_B","6:4","raw_age_year","Male Only","final","1yr",0.0378320296865757
