"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_A","1:2","age_cat_nij","Undersampling","final","1yr",0.999999977338357
"Method_B","1:2","age_cat_nij","Undersampling","final","1yr",0.999999977338357
"Method_C","1:2","age_cat_nij","Undersampling","final","1yr",0.999999977338357
"Method_A","6:4","age_cat_nij","Undersampling","final","1yr",0.992967925058598
"Method_B","6:4","age_cat_nij","Undersampling","final","1yr",0.992967925058598
"Method_C","6:4","age_cat_nij","Undersampling","final","1yr",0.992967925058598
"Method_A","7:3","age_cat_nij","Undersampling","final","1yr",0.998348129704598
"Method_B","7:3","age_cat_nij","Undersampling","final","1yr",0.998348129704598
"Method_C","7:3","age_cat_nij","Undersampling","final","1yr",0.998348129704598
"Method_A","8:2","age_cat_nij","Undersampling","final","1yr",0.999999999335836
"Method_B","8:2","age_cat_nij","Undersampling","final","1yr",0.999999999335836
"Method_C","8:2","age_cat_nij","Undersampling","final","1yr",0.999999999335836
"Method_A","1:2","raw_age_year","Oversampling","final","1yr",0.856522470736839
"Method_B","1:2","raw_age_year","Oversampling","final","1yr",0.856522470736839
"Method_C","1:2","raw_age_year","Oversampling","final","1yr",0.856522470736839
"Method_A","6:4","raw_age_year","Oversampling","final","1yr",0.90491664836399
"Method_B","6:4","raw_age_year","Oversampling","final","1yr",0.90491664836399
"Method_C","6:4","raw_age_year","Oversampling","final","1yr",0.90491664836399
"Method_A","7:3","raw_age_year","Oversampling","final","1yr",0.94000706719126
"Method_B","7:3","raw_age_year","Oversampling","final","1yr",0.94000706719126
"Method_C","7:3","raw_age_year","Oversampling","final","1yr",0.94000706719126
"Method_A","8:2","raw_age_year","Oversampling","final","1yr",0.873815701710692
"Method_B","8:2","raw_age_year","Oversampling","final","1yr",0.873815701710692
"Method_C","8:2","raw_age_year","Oversampling","final","1yr",0.873815701710692
"Method_A","1:2","age_cat_compas","Oversampling","final","1yr",0.856522470736839
"Method_B","1:2","age_cat_compas","Oversampling","final","1yr",0.856522470736839
"Method_C","1:2","age_cat_compas","Oversampling","final","1yr",0.856522470736839
"Method_A","6:4","age_cat_compas","Oversampling","final","1yr",0.90491664836399
"Method_B","6:4","age_cat_compas","Oversampling","final","1yr",0.90491664836399
"Method_C","6:4","age_cat_compas","Oversampling","final","1yr",0.90491664836399
"Method_A","7:3","age_cat_compas","Oversampling","final","1yr",0.94000706719126
"Method_B","7:3","age_cat_compas","Oversampling","final","1yr",0.94000706719126
"Method_C","7:3","age_cat_compas","Oversampling","final","1yr",0.94000706719126
"Method_A","8:2","age_cat_compas","Oversampling","final","1yr",0.873815701710692
"Method_B","8:2","age_cat_compas","Oversampling","final","1yr",0.873815701710692
"Method_C","8:2","age_cat_compas","Oversampling","final","1yr",0.873815701710692
"Method_A","1:2","age_cat_nij","Oversampling","final","1yr",0.856522470736839
"Method_B","1:2","age_cat_nij","Oversampling","final","1yr",0.856522470736839
"Method_C","1:2","age_cat_nij","Oversampling","final","1yr",0.856522470736839
"Method_A","6:4","age_cat_nij","Oversampling","final","1yr",0.90491664836399
"Method_B","6:4","age_cat_nij","Oversampling","final","1yr",0.90491664836399
"Method_C","6:4","age_cat_nij","Oversampling","final","1yr",0.90491664836399
"Method_A","7:3","age_cat_nij","Oversampling","final","1yr",0.94000706719126
"Method_B","7:3","age_cat_nij","Oversampling","final","1yr",0.94000706719126
"Method_C","7:3","age_cat_nij","Oversampling","final","1yr",0.94000706719126
"Method_A","8:2","age_cat_nij","Oversampling","final","1yr",0.873815701710692
"Method_B","8:2","age_cat_nij","Oversampling","final","1yr",0.873815701710692
"Method_C","8:2","age_cat_nij","Oversampling","final","1yr",0.873815701710692
"Method_A","1:2","raw_age_year","Male Only","final","1yr",0.858100730052923
"Method_B","1:2","raw_age_year","Male Only","final","1yr",0.858100730052923
"Method_C","1:2","raw_age_year","Male Only","final","1yr",0.858100730052923
"Method_A","6:4","raw_age_year","Male Only","final","1yr",0.847315488197912
"Method_B","6:4","raw_age_year","Male Only","final","1yr",0.847315488197912
"Method_C","6:4","raw_age_year","Male Only","final","1yr",0.847315488197912
"Method_A","7:3","raw_age_year","Male Only","final","1yr",0.885457723234512
"Method_B","7:3","raw_age_year","Male Only","final","1yr",0.885457723234512
"Method_C","7:3","raw_age_year","Male Only","final","1yr",0.885457723234512
"Method_A","8:2","raw_age_year","Male Only","final","1yr",0.87644051748314
"Method_B","8:2","raw_age_year","Male Only","final","1yr",0.87644051748314
"Method_C","8:2","raw_age_year","Male Only","final","1yr",0.87644051748314
"Method_A","1:2","age_cat_compas","Male Only","final","1yr",0.858100730052923
"Method_B","1:2","age_cat_compas","Male Only","final","1yr",0.858100730052923
"Method_C","1:2","age_cat_compas","Male Only","final","1yr",0.858100730052923
"Method_A","6:4","age_cat_compas","Male Only","final","1yr",0.847315488197912
"Method_B","6:4","age_cat_compas","Male Only","final","1yr",0.847315488197912
"Method_C","6:4","age_cat_compas","Male Only","final","1yr",0.847315488197912
"Method_A","7:3","age_cat_compas","Male Only","final","1yr",0.885457723234512
"Method_B","7:3","age_cat_compas","Male Only","final","1yr",0.885457723234512
"Method_C","7:3","age_cat_compas","Male Only","final","1yr",0.885457723234512
"Method_A","8:2","age_cat_compas","Male Only","final","1yr",0.87644051748314
"Method_B","8:2","age_cat_compas","Male Only","final","1yr",0.87644051748314
"Method_C","8:2","age_cat_compas","Male Only","final","1yr",0.87644051748314
"Method_A","1:2","age_cat_nij","Male Only","final","1yr",0.858100730052923
"Method_B","1:2","age_cat_nij","Male Only","final","1yr",0.858100730052923
"Method_C","1:2","age_cat_nij","Male Only","final","1yr",0.858100730052923
"Method_A","6:4","age_cat_nij","Male Only","final","1yr",0.847315488197912
